source_file,meter_id,rate_kbps,burst_kb,drops_pkts,drops_bytes
sp1_meters.txt,1,40000,1024,28837,42967130
sp1_meters.txt,2,30000,1024,53965,80407850
sp1_meters.txt,3,10000,2048,104196,155238120
