source_file,meter_id,rate_kbps,burst_kb,drops_pkts,drops_bytes
sp1_meters.txt,1,40000,1024,28932,43108680
sp1_meters.txt,2,30000,1024,53903,80315470
sp1_meters.txt,3,10000,2048,104204,155238904
