source_file,meter_id,rate_kbps,burst_kb,drops_pkts,drops_bytes
sp1_meters.txt,1,40000,1024,28871,43017790
sp1_meters.txt,2,30000,1024,53923,80345270
sp1_meters.txt,3,10000,2048,104194,155239316
