run,class,throughput_rx_Mbps,jitter_ms,loss_pct
a_20251109_105657,EF,36.64376748830686,1.376313486002731,7.919759820058114
a_20251109_105657,AF31,34.037049482312234,1.5347005241783838,14.463890953672687
a_20251109_105657,BE,25.366841172846016,1.4133730846296313,36.25613005367417
a_20251109_105844,EF,36.510486505250924,0.9934918587031596,8.249910704804565
a_20251109_105844,AF31,36.5570592524214,1.2299046447184028,8.13020687524737
a_20251109_105844,BE,22.97021992170505,1.3155924337122376,42.278620316829
a_20251109_105951,EF,38.45866502259526,1.3920017683367063,3.3304694513896265
a_20251109_105951,AF31,29.231547735175834,1.33663013891998,26.52501713502399
a_20251109_105951,BE,27.883912504668455,1.3917864702791705,29.917269208120555
a_20251109_110101,EF,21.361450672638167,2.034584487112094,46.24525770110726
a_20251109_110101,AF31,38.19219985672635,1.3709385861944094,4.018766471343483
a_20251109_110101,BE,36.27993244940546,1.0897479306101219,8.82912278330711
a_20251109_110353,EF,33.53327176845059,1.4783166336630413,15.740088233306626
a_20251109_110353,AF31,37.77604262908544,1.12540380966976,5.07100174728977
a_20251109_110353,BE,24.82085958091418,1.148806565296164,37.62561661952524
a_20251109_110445,EF,21.223565702991532,1.5048242706482315,46.65649827684407
a_20251109_110445,AF31,36.174580653826034,1.5866523680967164,9.092664279025765
a_20251109_110445,BE,38.6421970524327,1.0978719545775928,2.8893029182635224
a_20251109_110543,EF,22.255894740063813,1.1277033239816712,44.065914970846045
a_20251109_110543,AF31,33.54370325156995,1.813431261689685,15.714023689774011
a_20251109_110543,BE,35.576672123068086,1.2550779265354042,10.595719622739866
a_20251109_110803,EF,20.526344647040776,1.271800483769128,48.41440693509929
a_20251109_110803,AF31,37.222569487902405,1.3368830220899335,6.464972149552558
a_20251109_110803,BE,37.97568058477142,2.097279300989911,4.587359661740146
a_20251109_110921,EF,23.057964522959388,1.34720972109314,42.05562366660553
a_20251109_110921,AF31,34.1873244264642,1.355655668372072,14.086437749181863
a_20251109_110921,BE,38.29576745309777,1.1412596959516415,3.7697052775873887
a_20251109_111156,EF,25.932968349274315,1.5484245461361914,34.6668082518414
a_20251109_111156,AF31,36.42144740125062,1.690439102058122,8.248945351340394
a_20251109_111156,BE,32.41267971627654,2.5941068373095666,18.35619612120978
a_20251109_111241,EF,32.713399561934025,1.5847714696245365,17.78277616349226
a_20251109_111241,AF31,26.7990260504385,1.0751263756780924,32.6434273909392
a_20251109_111241,BE,34.930998464802215,1.3564799695057665,12.209790614833622
a_20251109_111403,EF,30.69449333241732,1.3340495952388438,22.85281255731786
a_20251109_111403,AF31,35.955303252430575,1.7585402493700983,9.65256928824489
a_20251109_111403,BE,26.42146462044842,1.1667957129624542,33.5952734925569
a_20251109_111728,EF,35.3644385041368,1.4170439687283127,11.128594734962206
a_20251109_111728,AF31,38.96489409220114,1.5349923630504148,2.091920956858354
a_20251109_111728,BE,21.72077837623021,1.0442807053102043,45.41505372192028
a_20251109_111929,EF,20.246546701773497,1.3383494452213538,49.1210456708724
a_20251109_111929,AF31,38.794403335963835,1.3806405963283064,2.5204892316900116
a_20251109_111929,BE,37.11783775724302,1.2974145726197164,6.725617584878703
a_20251109_112041,EF,38.431384549044175,1.1448078989421078,3.417351263165008
a_20251109_112041,AF31,20.703864101243866,0.985415486197031,47.967448281188155
a_20251109_112041,BE,36.754759418128806,1.4903744274675745,7.646564789697748
a_20251109_112157,EF,20.568136116863567,1.0358044687289516,48.31207946789717
a_20251109_112157,AF31,36.88851479518662,1.5802900917772658,7.325102086128836
a_20251109_112157,BE,38.556605958252746,2.9446798067030713,2.9993532131790053
a_20251109_112242,EF,31.79795088672853,1.124933475834115,20.0909362963249
a_20251109_112242,AF31,25.26478845104711,1.1114640905599376,36.50580660108699
a_20251109_112242,BE,38.548751819528384,1.18614316999419,3.13160663777042
a_20251109_112348,EF,19.558786456979043,1.2751030884741612,50.842270897489115
a_20251109_112348,AF31,37.89914077775061,1.2057871387898238,4.7524351041133714
a_20251109_112348,BE,38.398808583493796,1.5032058540666424,3.498440954155364
a_20251109_112502,EF,37.68832948557868,1.46344007062623,5.280483449014857
a_20251109_112502,AF31,31.934411905809107,1.082557714851294,19.7492011700084
a_20251109_112502,BE,25.89860886759522,1.3929594961523064,34.92069621291836
a_20251109_112556,EF,20.97264194237135,1.2985907945816635,47.2979495694482
a_20251109_112556,AF31,38.10423843956056,1.1083142649303557,4.235005647317766
a_20251109_112556,BE,37.6139943137405,1.2166245775007363,5.47548484877738
